"STT","Loại vắc xin","Tên Thuốc","Sản xuất","Tình trạng","Nồng độ","Đơn vị","Giá mũi 1","Giá mũi 2+","Ghi chú"
"1","Huyết thanh kháng dại","IVACRIG","Việt Nam","Còn","1.000 IU","Lọ","526,686","476,686","Mũi 2+ không thu phí tư vấn"
"2","Huyết thanh kháng độc tố uốn ván","SAT","Việt Nam","Còn","1.500 IU","Ống","131,352","81,352"
"3","Vắc xin 6 trong 1","INFANRIX HEXA","Bỉ","Còn","0,5 ml","Lọ","1,042,204","992,204"
"4","Vắc xin 6 trong 1","HEXAXIM","Pháp","Còn","0,5 ml","Bơm Tiêm","1,013,150","963,150","Mũi 2+ không thu phí tư vấn"
"5","Vắc xin BH, HG, UV","Boostrix","Bỉ","Còn","0,5 ml","Hộp","694,500","644,500"
"6","Vắc xin BH, HG, UV","ADACEL","Canada","Còn","0,5 ml","Hộp","656,295","606,295"
"7","Vắc xin BH, HG, UV, Bại liệt","TETRAXIM","Pháp","Còn","0,5 ml","Liều","536,268","486,268","Mũi 2+ không thu phí tư vấn"
"8","Vắc xin cúm","VAXIGRIP TETRA","Pháp","Hết","0,5 ml","Bơm Tiêm","370,500","320,500"
"9","Vắc xin cúm","INFLUVAC TETRA","Hà Lan","Còn","0,5 ml","Bơm Tiêm","364,500","314,500"
"10","Vắc xin cúm","GCFLU Quadrivalent","Hàn Quốc","Hết","0,5 ml","Bơm Tiêm","355,640","305,640","Mũi 2+ không thu phí tư vấn"
"11","Vắc xin cúm","IVACFLU-S","Việt Nam","Hết","0,5 ml","Lọ","245,600","195,600"
"12","Vắc xin dại","VERORAB","Pháp","Còn","0,5 ml","Liều","380,890","330,890"
"13","Vắc xin dại","ABHAYRAB","Ấn Độ","Còn","0,5 ml","Lọ","286,340","236,340"
"14","Vắc xin dại","SPEEDA","Trung Quốc","Còn","0,5 ml","Lọ","260,300","210,300","Mũi 2+ không thu phí tư vấn"
"15","Vắc xin Hib","QUIMI-HIB","Cuba","Hết","0,5 ml","Lọ","290,750","240,750"
"16","Vắc xin HPV","GARDASIL 9","Mỹ","Còn","0,5 ml","Lọ","2,823,350","2,773,350"
"17","Vắc xin HPV","GARDASIL (4)","Mỹ","Còn","0,5 ml","Lọ","1,606,100","1,556,100"
"18","Não mô cầu ACYW","MENACTRA","Mỹ","Hết","0,5 ml","Lọ","1,198,500","1,148,500","Mũi 2+ không thu phí tư vấn"
"19","Não mô cầu B","Bexsero","Ý","Còn","0,5 ml","Lọ","1,626,426","1,576,426"
"20","Não mô cầu BC","VA-MENGOC-BC","Cuba","Còn","0,5 ml","Lọ","271,892","221,892"
"21","Phế cầu (10)","SYNFLORIX","Bỉ","Hết","0,5 ml","Liều","926,400","876,400","Mũi 2+ không thu phí tư vấn"
"22","Phế cầu (13)","Prevenar 13","Bỉ","Còn","0,5 ml","Bơm Tiêm","1,173,800","1,123,800"
"23","Phế cầu (15)","Vaxneuvance","Ireland","Còn","0,5 ml","Bơm tiêm","1,496,500","1,446,500"
"24","Phế cầu (23)","Pneumovax 23","Mỹ","Còn","0,5 ml","Lọ","917,268","867,268","Mũi 2+ không thu phí tư vấn"
"25","Sởi, quai bị, rubella","M-M-R II","Mỹ","Còn","0,5 ml","Lọ","317,756","267,756"
"26","Sởi, quai bị, rubella","Ấn Độ","Ấn Độ","Còn","0,5 ml","Ống","275,682","225,682"
"27","Sởi, quai bị, rubella","Priorix","Bỉ","Còn","0,5 ml","Hộp","370,500","320,500","Mũi 2+ không thu phí tư vấn"
"28","Sốt xuất huyết","QDENGA","Đức","Còn","0,5 ml","Hộp","1,060,836","1,010,836"
"29","Vắc xin tả","mORCVAX","Việt Nam","Còn","1,5 ml","Lọ","168,885","118,885"
"30","Vắc xin thương hàn","TyphimVI","Pháp","Còn","0,5 ml","Bơm Tiêm","270,879","220,879","Mũi 2+ không thu phí tư vấn"
"31","Vắc xin thủy đậu","VARIVAX","Mỹ","Còn","0,5 ml","Lọ","972,695","922,695"
"32","Vắc xin thủy đậu","VARILRIX","Bỉ","Còn","0,5 ml","Lọ","936,664","886,664"
"33","Tiêu chảy Rota","ROTATEQ","Mỹ","Còn","2 ml","Tuýp","628,820","578,820","Mũi 2+ không thu phí tư vấn"
"34","Tiêu chảy Rota","ROTARIX","Bỉ","Còn","1.5 ml","Liều","860,335","810,335"
"35","Tiêu chảy Rota","ROTAVIN-M1","Việt Nam","Còn","2 ml","Lọ","433,280","383,280"
"36","Vắc xin uốn ván","Uốn ván hấp phụ (TT)","Việt Nam","Còn","0,5 ml","Ống","112,762","62,762","Mũi 2+ không thu phí tư vấn"
"37","Vắc xin UV, BH","Uốn ván bạch hầu (Td)","Việt Nam","Còn","0,5 ml","Ống","127,945","77,945"
"38","Viêm gan A","HAVAX","Việt Nam","Còn","0,5 ml","Liều","209,270","159,270"
"39","Viêm gan A","AVAXIM 80 U","Pháp","Còn","0,5 ml","Hộp","554,644","504,644","Mũi 2+ không thu phí tư vấn"
"40","Viêm gan A và B","TWINRIX","Bỉ","Còn","1 ml","Liều","607,422","557,422"
"41","Viêm gan B","Heberbiovac (0,5ml)","Cuba","Còn","0,5 ml","Lọ","152,465","102,465"
"42","Viêm gan B","Heberbiovac (1ml)","Cuba","Còn","1 ml","Lọ","176,405","126,405","Mũi 2+ không thu phí tư vấn"
"43","Viêm gan B","Gene Hbvax (1ml)","Việt Nam","Còn","1 ml","Lọ","173,108","123,108"
"44","Viêm gan B","Gene Hbvax (0,5ml)","Việt Nam","Còn","0,5 ml","Lọ","149,767","99,767"
"45","Viêm não Nhật Bản","JEVAX","Việt Nam","Còn","1 ml","Lọ","160,140","110,140","Mũi 2+ không thu phí tư vấn"
"46","Viêm não Nhật Bản","JEEV 6mcg","Ấn Độ","Còn","0,5 ml","Lọ","479,750","429,750"
"47","Viêm não Nhật Bản","JEEV 3mcg","Ấn Độ","Hết","0,5 ml","Lọ","369,500","319,500"
"48","Viêm não Nhật Bản","IMOJEV","Thái Lan","Còn","0,5 ml","Hộp","795,718","745,718","Mũi 2+ không thu phí tư vấn"
"49","Vắc xin Zona","Shingrix","Bỉ","Còn","0,5 ml","Hộp","3,491,885","3,441,885"
"50","Thuốc tiêm tránh thai","Triclofem","Indonesia","Còn","150mg","Lọ","139.494","89.494"